id,type,title,text,year,city,country,lat,lon,all_cities,all_coords,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason
US10682366,patent,A METHOD FOR ENHANCING IMMUNITY USING GINSENOSIDE F1 AS AN ACTIVE INGREDIENT,"A METHOD FOR ENHANCING IMMUNITY USING GINSENOSIDE F1 AS AN ACTIVE INGREDIENT. The present invention relates to compositions for enhancing innate immunity, comprising ginsenoside F1 as an active ingredient. Specifically, the composition according to the present invention promotes degranulation activity and cell-killing activity of natural killer cells, and increases expressions of cell-killing factors, thereby being effectively used as an innate immunity enhancer.",2020,Daejeon,KR,36.3497007,127.3849016,"[""Daejeon"", ""Seoul""]","[[36.3497007, 127.3849016], [37.5666791, 126.9782914]]",,,False,0.0,core_keyword
US10391111,patent,COMPOSITION FOR PREVENTING OR TREATING CERVICAL CANCER INCLUDING GYPENOSIDE LXXV,"COMPOSITION FOR PREVENTING OR TREATING CERVICAL CANCER INCLUDING GYPENOSIDE LXXV. Provided are a pharmaceutical composition for preventing or treating cervical cancer including gypenoside LXXV or a pharmaceutically acceptable salt thereof as an active ingredient, a method of preventing or treating cervical cancer including administering the pharmaceutical composition to a subject excluding humans, a health functional food composition for preventing or improving cervical cancer including gypenoside LXXV as an active ingredient, and a feed composition for preventing or improving cervical cancer including gypenoside LXXV as an active ingredient.",2019,Daejeon,KR,36.3497007,127.3849016,"[""Daejeon""]","[[36.3497007, 127.3849016]]",,,False,0.0,core_keyword
US10330672,patent,METHOD FOR SCREENING ACTIVATOR OF MITOCHONDRIAL ACTIVITY,"METHOD FOR SCREENING ACTIVATOR OF MITOCHONDRIAL ACTIVITY. The present invention relates to a method for screening an activator of mitochondrial activity by using gypenoside-treated cells, to a composition for screening an activator of mitochondrial activity, comprising the gypenoside, and to a kit comprising the composition. By using the method for screening an activator of mitochondrial activity of the present invention, it is possible to effectively discover a preparation which can substantially promote the mitochondrial activity, and thus the method is expected to be widely used in developing a therapeutic agent for diseases caused by mitochondrial activity inhibition.",2019,Daejeon,KR,36.3497007,127.3849016,"[""Daejeon"", ""Gyeonggi-do""]","[[36.3497007, 127.3849016], [37.2884675, 127.0535231]]",,,False,0.0,core_keyword
US10391110,patent,COMPOSITION FOR PREVENTING OR TREATING VASCULAR LEAK SYNDROME,"COMPOSITION FOR PREVENTING OR TREATING VASCULAR LEAK SYNDROME. The present invention relates to a pharmaceutical composition containing ginsenoside F1 or Rh1 for preventing or treating vascular leak syndrome, to a method for treating vascular leak syndrome using the pharmaceutical composition, and to a food composition containing ginsenoside F1 or Rh1 for preventing or ameliorating vascular leak syndrome. The ginsenoside F1 or Rh1 provided in the present invention can promote angiogenesis and suppress vascular leakage, and thus can be widely utilized in the effective prevention or treatment of vascular leak syndrome.",2019,Daejeon,KR,36.3497007,127.3849016,"[""Daejeon"", ""Seoul""]","[[36.3497007, 127.3849016], [37.5666791, 126.9782914]]",,,False,0.0,core_keyword
US10584347,patent,PRODUCTION OF PROTEINS IN LABYRINTHULOMYCETES,"PRODUCTION OF PROTEINS IN LABYRINTHULOMYCETES. The present invention provides recombinant host cells that produce proteins or therapeutic proteins, and nucleic acid constructs for producing the cells. The cells have nucleic acid constructs that encode a heterologous protein, for example an antibody. The nucleic acid constructs also can have a functional signal sequence that directs the secretion of the protein from the cell. The signal sequence can be any functional signal sequence, and various signal sequences are disclosed herein. The invention also provides methods of producing the proteins.",2020,Rancho Santa Fe,US,33.0242314,-117.1979781,"[""Rancho Santa Fe, CA"", ""Irvine, CA"", ""San Diego, CA"", ""La Jolla, CA""]","[[33.0242314, -117.1979781], [33.6856969, -117.825981], [32.7174202, -117.162772], [32.8458529, -117.2575702]]",,,False,0.0,core_keyword
US10376530,patent,PHARMACEUTICAL COMPOSITION FOR PREVENTING OR TREATING GLEEVEC-RESISTANT LEUKEMIA CONTAINING GINSENOSIDE F1 OR GINSENOSIDE RG3 AS AN ACTIVE INGREDIENT,"PHARMACEUTICAL COMPOSITION FOR PREVENTING OR TREATING GLEEVEC-RESISTANT LEUKEMIA CONTAINING GINSENOSIDE F1 OR GINSENOSIDE RG3 AS AN ACTIVE INGREDIENT. The present invention relates to a pharmaceutical composition for preventing or treating Gleevec-resistant leukemia, containing, as an active ingredient, ginsenoside F1 or Rg3 which exhibits a preventive or therapeutic effect on Gleevec-resistant leukemia through enhancing cell killing activity of NK cells; a method for treating Gleevec-resistant leukemia comprising a step of administering the pharmaceutical composition; and a food composition for preventing or ameliorating Gleevec-resistant leukemia. Since the pharmaceutical composition of the present invention can effectively treat leukemia that exhibits resistance to conventional Gleevec, the pharmaceutical composition can be widely used for effective leukemia treatment.",2019,Daejeon,KR,36.3497007,127.3849016,"[""Daejeon"", ""Seoul""]","[[36.3497007, 127.3849016], [37.5666791, 126.9782914]]",,,False,0.0,core_keyword
US10301654,patent,METHOD OF PREPARING CINNAMALDEHYDE,METHOD OF PREPARING CINNAMALDEHYDE. Provided is a method of preparing cinnamaldehyde by using a recombinant microorganism.,2019,Daejeon,KR,36.3497007,127.3849016,"[""Daejeon""]","[[36.3497007, 127.3849016]]",,,False,0.0,core_keyword
US10577629,patent,IN VITRO RECOMBINATION METHOD,"IN VITRO RECOMBINATION METHOD. The present invention relates, e.g., to in vitro method, using isolated protein reagents, for joining two double stranded (ds) DNA molecules of interest, wherein the distal region of the first DNA molecule and the proximal region of the second DNA molecule share a region of sequence identity, comprising contacting the two DNA molecules in a reaction mixture with (a) a non-processive 5&#x2032; exonuclease; (b) a single stranded DNA binding protein (SSB) which accelerates nucleic acid annealing; (c) a non strand-displacing DNA polymerase; and (d) a ligase, under conditions effective to join the two DNA molecules to form an intact double stranded DNA molecule, in which a single copy of the region of sequence identity is retained. The method allows the joining of a number of DNA fragments, in a predetermined order and orientation, without the use of restriction enzymes.",2020,Gaithersburg,US,39.1399187,-77.1929215,"[""Gaithersburg, MD"", ""San Diego, CA"", ""Carlsbad, CA""]","[[39.1399187, -77.1929215], [32.7174202, -117.162772], [33.1580933, -117.3505966]]",,,False,0.0,core_keyword
US10377997,patent,GENETICALLY ENGINEERED VIBRIO sp. AND USES THEREOF,"GENETICALLY ENGINEERED VIBRIO sp. AND USES THEREOF. The present disclosure relates to the seminal discovery of a generation and use of genetically engineered Vibrio sp. Provided is the use of the genetically engineered bacteria for the construction, maintenance, manipulation, and/or propagation of DNA constructs; protein expression; protein secretion; vectors and other metabolic tools; metabolic engineering; expression of cellular extracts for cell-free biology; shuttle vectors; cloning vectors; and for synthetic biology applications. The disclosure also relates to the use of the replication machinery of Vibrio sp. as a cloning or expression vector for replication of recombinant DNA constructs. The disclosure also relates to methods of use of the above.",2019,San Diego,US,32.7174202,-117.162772,"[""San Diego, CA"", ""Carlsbad, CA""]","[[32.7174202, -117.162772], [33.1580933, -117.3505966]]",,,False,0.0,core_keyword
US10041079,patent,COMPOSITIONS AND METHODS FOR EXPRESSING GENES IN ALGAE,"COMPOSITIONS AND METHODS FOR EXPRESSING GENES IN ALGAE. The present application provides novel regulatory elements including promoter sequences from microorganisms. The application further discloses DNA constructs containing these novel regulatory elements, and recombinant microorganisms comprising these regulatory elements. Methods of modifying, producing, and using the regulatory elements are also disclosed. The regulatory elements and transformation methods disclosed herein are particularly suited for use in Parachlorella and other microalgae.",2018,San Diego,US,32.7174202,-117.162772,"[""San Diego, CA"", ""Carmichael, CA""]","[[32.7174202, -117.162772], [38.6270985, -121.3222422]]",,,False,0.0,core_keyword
