id,type,title,text,year,city,country,lat,lon,part_name,part_uuid,part_type,part_role,source_dois,team_name,org_uuid,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason
igem_part_BBa_25FW15AV,part,Leader–T7–GG–Toehold (IL7R Δ6)–Linker(8aa)–sfGFP(no-start)–T7 terminator–Trailer,"Composite expression cassette that produces GFP only when the IL7R Δ6 trigger binds the toehold.

* Leader insulates the promoter from upstream context.
* T7 promoter drives transcription (BBa\_K4210003 or equivalent).
* “GG” 5′UTR buffer improves initiation/insulates the toehold.
* Toehold riboswitch in the 5′UTR sequesters RBS + ATG (OFF); the cognate trigger RNA (reverse complement of the IL7R Δ6 junction) binds, opens the hairpin, and exposes RBS/AUG (ON).
* Linker (8 aa) provides spacing before GFP.
* sfGFP CDS without a start codon; translation initiates at the toehold ATG; CDS ends with a stop codon (TAA).
* T7 terminator stops transcription and prevents read-through.
* Trailer insulates the cassette from downstream backbone/elements.",2025,San Francisco,US,37.7879363,-122.4075201,BBa_25FW15AV,d17bd88c-dc9f-42df-b4b0-5d47426f8699,Device,Device,,CalUCSF,f686223e-691a-47e8-8ed4-b2fdc018e078,,,False,0.0,igem_registry_api
igem_part_BBa_25SAZTW8,part,phnR-P-phnS-EGFP,"This part is designed to detect PHE concentration. The two regulatory proteins encoded by phnR and phnS act together on the operator region upstream of phnS. The phnR gene operates constitutively, and upon detecting SA (a metabolic intermediate of PHE), it activates the expression of phnS and its downstream genes. This part can even quantitatively measure PHE concentration and produce graded output signals, although this particular feature was not utilized in our experiments.",2025,Changsha,CN,28.1987538,112.9708685,BBa_25SAZTW8,402d955f-3dc3-4e19-93d5-4b65565176d4,DNA (Deprecated),DNA (Deprecated),10.1128/jb.181.2.531-540.1999,HNU-China,b6212d85-9b53-4e79-927a-9360d476a5cf,,,False,0.0,igem_registry_api
igem_part_BBa_25EAUO3A,part,Trailer/downstream insulator after terminator,Short downstream trailer/insulator placed 3′ of the terminator to buffer the cassette from backbone or adjacent elements and reduce spurious transcription.,2025,San Francisco,US,37.7879363,-122.4075201,BBa_25EAUO3A,e7ae2b63-384a-44e3-80ac-986fd430232c,Regulatory,Regulatory,,CalUCSF,f686223e-691a-47e8-8ed4-b2fdc018e078,,,False,0.0,igem_registry_api
igem_part_BBa_25SIIXDB,part,sfGFP CDS (no start; includes TAA stop),sfGFP coding sequence without an AUG start codon for use downstream of a toehold riboswitch that supplies the start codon. Translation initiates at the toehold’s ATG; this CDS includes one stop codon (TAA) at the end.&#x20;,2025,San Francisco,US,37.7879363,-122.4075201,BBa_25SIIXDB,bb75c597-4c96-4179-a070-790cb325f4cc,Coding,Coding,,CalUCSF,f686223e-691a-47e8-8ed4-b2fdc018e078,,,False,0.0,igem_registry_api
igem_part_BBa_25MGETYD,part,Linker peptide (8 aa) between toehold start and GFP,Coding linker (8 amino acids) placed in-frame immediately after the toehold’s ATG to provide spacing before GFP. Use with a GFP CDS lacking its own start codon.,2025,San Francisco,US,37.7879363,-122.4075201,BBa_25MGETYD,c2fd0a19-08e8-49f3-951a-545bc7dfa905,Protein_Domain,Protein_Domain,,CalUCSF,f686223e-691a-47e8-8ed4-b2fdc018e078,,,False,0.0,igem_registry_api
igem_part_BBa_25NHXE3I,part,5′UTR “GG” buffer (T7 +1/+2 enhancer),Very short 5′UTR buffer placed immediately downstream of the T7 promoter to improve initiation and insulate the following toehold from promoter context.,2025,San Francisco,US,37.7879363,-122.4075201,BBa_25NHXE3I,e42fbe23-a308-4eb8-b3e7-8bf56b6a243b,5'UTR [SO:0000204],5'UTR [SO:0000204],,CalUCSF,f686223e-691a-47e8-8ed4-b2fdc018e078,,,False,0.0,igem_registry_api
igem_part_BBa_25F7N9EO,part,Leader/insulator upstream of T7 promoter,"Short upstream leader/insulator sequence placed 5′ of a promoter (e.g., T7) to minimize context-dependent secondary structure and reduce unintended interactions with backbone or adjacent elements. Intended for modular assembly immediately upstream of a promoter.",2025,San Francisco,US,37.7879363,-122.4075201,BBa_25F7N9EO,985e0100-b421-40d2-a86a-e257191255d3,Regulatory,Regulatory,,CalUCSF,f686223e-691a-47e8-8ed4-b2fdc018e078,,,False,0.0,igem_registry_api
igem_part_BBa_25ZLOXQW,part,phnS,"A gene expresses a regulatory protein that interacts with the PhnR protein (expressed by the phnR gene) to control the activity of an upstream promoter. This regulatory mechanism is influenced by a metabolic intermediate of Phenanthrene (PHE), thereby constituting a genetic switch that senses the presence and concentration of PHE.",2025,Changsha,CN,28.1987538,112.9708685,BBa_25ZLOXQW,de54be66-42ce-4aff-9793-8bd31484f52f,DNA (Deprecated),DNA (Deprecated),,HNU-China,b6212d85-9b53-4e79-927a-9360d476a5cf,,,False,0.0,igem_registry_api
igem_part_BBa_25C4J34E,part,Anti-CD19 SynNOTCH with etTA,The antiCD19-synNotch-tTA is activated in the presence of CD19. This releases a transcription factor enhanced\_tTA (TeTR-VP64) that binds to the 7-mer TetO sequence and brings in additional host transcription factors to the mini-CMV promoter and result in the transcription of the reporter gene.,2025,Kharagpur,IN,22.34309,87.3012875,BBa_25C4J34E,9299ccba-734e-44a6-80e7-06baa5aa2edf,Coding,Coding,,IITKharagpur,559e7e6e-0ba8-42a9-b8de-e416bfb92513,,,False,0.0,igem_registry_api
igem_part_BBa_25075BDZ,part,phnR,A gene that can express the presumed regulatory protein which can recognize PHE and form compounds to drive the phnS promoter to express the downstream genes.,2025,Changsha,CN,28.1987538,112.9708685,BBa_25075BDZ,ec1f5d67-bc2b-4ae0-bffb-34930e004c1c,DNA (Deprecated),DNA (Deprecated),,HNU-China,b6212d85-9b53-4e79-927a-9360d476a5cf,,,False,0.0,igem_registry_api
