id,geo_city,country,weight,rep_patent,lat,lon
3b6c4a12151q2m4k37465x353q4f3t3a4j6eh3k,Slough,GB,1.0,US8691233,51.5111014,-0.5940682
4n4e2y625s6q3s4n1cz2555454y6o2q2h601642,"La Jolla, CA",US,0.6,US9394369,32.8458529,-117.2575702
4n4e2y625s6q3s4n1cz2555454y6o2q2h601642,"Solana Beach, CA",US,0.2,US9394369,32.9919141,-117.2678124
4n4e2y625s6q3s4n1cz2555454y6o2q2h601642,"San Diego, CA",US,0.2,US9394369,32.7174202,-117.162772
1s123v3j3j485t4d3b1f5k726k394g2n1few36,"Thousand Oaks, CA",US,0.3333333333333333,US9399762,34.1705609,-118.8375937
1s123v3j3j485t4d3b1f5k726k394g2n1few36,"Pasadena, CA",US,0.3333333333333333,US9399762,34.1476507,-118.144155
1s123v3j3j485t4d3b1f5k726k394g2n1few36,"La Canada, CA",US,0.3333333333333333,US9399762,33.7301661,-117.7638553
1p73l3e6y122lj1j554e2s5t3y4b1j5w4h243h,Glasgow,GB,1.0,US9410873,55.861155,-4.2501687
6c1k6wm3m2rdu1o575l4r1w1t2p4u2h2k575,"Champaign, IL",US,0.5,US9433943,40.1164841,-88.2430932
6c1k6wm3m2rdu1o575l4r1w1t2p4u2h2k575,"Urbana, IL",US,0.25,US9433943,40.1117174,-88.207301
6c1k6wm3m2rdu1o575l4r1w1t2p4u2h2k575,"West Lafayette, IN",US,0.25,US9433943,40.4258686,-86.9080655
6n1p18i28h1t50c703ri465r3c2j3x5gt5o,"Clayton, MO",US,0.5,US9435810,38.6504352,-90.3362473
6n1p18i28h1t50c703ri465r3c2j3x5gt5o,"St. Louis, MO",US,0.5,US9435810,38.6254063,-90.190009
6i2s4x136v4g956531a703w6j162x464ikj3h,"Framingham, MA",US,0.16666666666666666,US9227917,42.2773177,-71.4165905
6i2s4x136v4g956531a703w6j162x464ikj3h,"Pittsburgh, PA",US,0.16666666666666666,US9227917,40.4406968,-80.0025666
6i2s4x136v4g956531a703w6j162x464ikj3h,"Somerville, MA",US,0.16666666666666666,US9227917,42.3875968,-71.0994968
6i2s4x136v4g956531a703w6j162x464ikj3h,"Cambridge, MA",US,0.3333333333333333,US9227917,42.3656347,-71.1040018
