part_name,pmcid,doi,year
BBa_K880005,PMC7060062,10.1126/sciadv.aaz5108,2020
BBa_J23101,PMC7058928,10.15252/msb.20199401,2020
BBa_J23104,PMC7058928,10.15252/msb.20199401,2020
BBa_J23119,PMC7146887,10.1021/acssynbio.9b00448,2020
BBa_B0015,PMC7056670,10.3389/fbioe.2020.00140,2020
BBa_B0032,PMC7056670,10.3389/fbioe.2020.00140,2020
BBa_B0034,PMC7056670,10.3389/fbioe.2020.00140,2020
BBa_J23100,PMC7007895,10.1007/s00253-019-10344-w,2020
BBa_J23119,PMC7007895,10.1007/s00253-019-10344-w,2020
BBa_B0034,PMC7017828,10.1111/1751-7915.13533,2020
BBa_J23100,PMC7017828,10.1111/1751-7915.13533,2020
BBa_K592012,PMC7017828,10.1111/1751-7915.13533,2020
BBa_B0015,PMC7038009,10.1016/j.mec.2020.e00125,2020
BBa_J04031,PMC7049295,10.1063/1.5134926,2020
BBa_B0030,PMC13064465,10.1016/j.engmic.2025.100257,2026
BBa_J23117,PMC13064465,10.1016/j.engmic.2025.100257,2026
BBa_J61106,PMC13064465,10.1016/j.engmic.2025.100257,2026
BBa_J61109,PMC13064465,10.1016/j.engmic.2025.100257,2026
BBa_B0034,PMC6982386,10.1186/s13068-020-1654-x,2020
BBa_B0062,PMC13101479,10.1128/aem.01768-25,2026
BBa_B1002,PMC13103967,10.21769/BioProtoc.5665,2026
BBa_S01987,PMC6952187,10.1371/journal.pone.0223935,2020
BBa_B0010,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_B0012,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_B0015,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_I0500,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_J23101,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_J23110,PMC13101318,10.1186/s13036-026-00660-x,2026
BBa_J23119,PMC13101318,10.1186/s13036-026-00660-x,2026
